Wavelenght (nm);Concentration (mol.L-1);SpectreEM_1;SpectreEM_2;SpectreEM_3;SpectreEM_4;SpectreEM_5;SpectreEM_6;SpectreEM_7;SpectreEM_8;SpectreEM_9;SpectreEM_10;SpectreEM_11
400;0;0,0294924;0,410867;0,790405;1,06812;1,35193;1,58997;1,83105;2,02026;2,21558;2,39258;2,56653
401;4,72527E-05;0,0276059;0,441939;0,831604;1,17798;1,46866;1,79443;2,01874;2,24533;2,4765;2,6825;2,88467
402;9,3398E-05;0,0189622;0,475852;0,905355;1,30107;1,64558;1,96669;2,25016;2,48922;2,74692;3,00632;3,20604
403;0,000138474;0,0207536;0,529015;1,00632;1,43261;1,81828;2,15817;2,48013;2,75726;3,04527;3,32356;3,55892
404;0,000182518;0,0224738;0,584948;1,11047;1,58203;2,00562;2,38501;2,73792;3,05029;3,37427;3,67566;3,94922
405;0,000225565;0,0232945;0,639656;1,21558;1,73401;2,19446;2,61584;2,99756;3,35083;3,70923;4,03992;4,34656
406;0,000267648;0,0238771;0,696841;1,32605;1,89624;2,3999;2,86304;3,27686;3,67114;4,06873;4,4303;4,76563
407;0,000308799;0,0236407;0,754201;1,44128;2,06689;2,61926;3,12659;3,57336;4,00806;4,43958;4,84033;5,20361
408;0,000349049;0,0234334;0,813943;1,56543;2,24133;2,8468;3,40064;3,88086;4,35877;4,81995;5,2688;5,66016
409;0,000388428;0,0227473;0,877844;1,69336;2,42102;3,08814;3,67981;4,19544;4,71668;5,21753;5,70972;6,13208
410;0,000426962;0,0217494;0,944161;1,82263;2,60425;3,34033;3,96655;4,52441;5,07776;5,62622;6,16345;6,61231
411;;0,0209437;1,01123;1,95654;2,79211;3,59692;4,25916;4,86328;5,44812;6,04517;6,62476;7,10523
412;;0,0207171;1,08187;2,09607;2,98389;3,85425;4,55835;5,21252;5,83423;6,48608;7,09363;7,61255
413;;0,0209735;1,15515;2,23804;3,18286;4,11816;4,87146;5,57507;6,23938;6,94849;7,57788;8,13904
414;;0,0210793;1,22925;2,38538;3,38953;4,38782;5,20081;5,95435;6,66419;7,42688;8,07825;8,68396
415;;0,0209762;1,3053;2,54102;3,60339;4,66443;5,53955;6,33984;7,1106;7,91834;8,58521;9,25147
416;;0,0209584;1,38452;2,70276;3,82483;4,94946;5,89063;6,7312;7,56934;8,41736;9,10657;9,84131
417;;0,0219307;1,46313;2,8678;4,04834;5,24109;6,24512;7,12695;8,0271;8,92285;9,64795;10,4496
418;;0,0227399;1,54175;3,03418;4,27466;5,5365;6,59509;7,52332;8,47852;9,43469;10,1959;11,0581
419;;0,0236192;1,62073;3,19714;4,50525;5,83691;6,93799;7,92371;8,93152;9,94592;10,7515;11,6605
420;;0,0239339;1,69922;3,35864;4,73767;6,14099;7,28064;8,33142;9,38257;10,4565;11,3153;12,2642
421;;0,0243559;1,78149;3,5188;4,96875;6,44556;7,61731;8,75147;9,83765;10,9734;11,8831;12,8577
422;;0,0242643;1,87231;3,6792;5,21033;6,75476;7,96594;9,17383;10,3082;11,4961;12,4552;13,4453
423;;0,0245285;1,96399;3,84387;5,46106;7,07471;8,33228;9,604;10,7948;12,025;13,0399;14,053
424;;0,0248065;2,0564;4,01563;5,71753;7,40064;8,71326;10,0367;11,2944;12,5612;13,6377;14,6898
425;;0,0260015;2,15064;4,19043;5,97461;7,72546;9,10596;10,4696;11,8057;13,1002;14,2526;15,3326
426;;0,0273509;2,24036;4,36792;6,23523;8,05042;9,51709;10,8947;12,3217;13,6395;14,8674;15,989
427;;0,0281377;2,32544;4,5448;6,49048;8,37683;9,92615;11,3254;12,8341;14,1704;15,4695;16,6574
428;;0,0274568;2,41528;4,71436;6,73596;8,69458;10,3215;11,7522;13,334;14,6837;16,0518;17,3038
429;;0,0263052;2,50366;4,87744;6,96802;8,99719;10,704;12,1716;13,814;15,1857;16,6083;17,9078
430;;0,0263429;2,59058;5,03406;7,19788;9,29297;11,0717;12,587;14,2731;15,6893;17,1416;18,49
431;;0,0265698;2,67847;5,19019;7,42017;9,58569;11,4136;12,993;14,7163;16,194;17,6791;19,0536
432;;0,0256057;2,75989;5,34888;7,63477;9,86682;11,7402;13,3851;15,1459;16,6963;18,2159;19,597
433;;0,0250869;2,83105;5,51209;7,84253;10,1355;12,0568;13,7566;15,5748;17,1979;18,7484;20,1409
434;;0,0250511;2,90137;5,67505;8,04504;10,4047;12,3618;14,108;16,0006;17,6931;19,2749;20,6962
435;;0,0234861;2,96814;5,83875;8,23987;10,6697;12,6586;14,4464;16,4188;18,1635;19,7826;21,2477
436;;0,0210614;3,02832;5,98682;8,42737;10,9221;12,9479;14,7765;16,8137;18,5964;20,2494;21,7743
437;;0,0208073;3,08643;6,11707;8,60498;11,1667;13,2169;15,0966;17,1818;18,9951;20,684;22,264
438;;0,0213161;3,14514;6,23132;8,77576;11,403;13,4768;15,4113;17,5115;19,368;21,0966;22,7147
439;;0,0216255;3,20349;6,33313;8,94336;11,6209;13,7335;15,7174;17,808;19,7184;21,4832;23,1367
440;;0,0217605;3,25964;6,4242;9,10486;11,818;13,9669;15,9991;18,0797;20,0509;21,8405;23,5334
441;;0,0223041;3,31531;6,51477;9,26489;12,0018;14,1842;16,2599;18,3474;20,3726;22,1791;23,9108
442;;0,0226145;3,37244;6,60779;9,422;12,1727;14,4014;16,4995;18,6089;20,6925;22,5006;24,2754
443;;0,0234294;3,42761;6,70178;9,57361;12,3348;14,6069;16,7255;18,869;21,0056;22,7968;24,6218
444;;0,0249047;3,47595;6,79968;9,72351;12,493;14,7932;16,9491;19,125;21,299;23,0773;24,9336
445;;0,0259709;3,52161;6,89453;9,86548;12,6431;14,9782;17,162;19,3752;21,5736;23,3519;25,2118
446;;0,0268889;3,5647;6,98425;9,98877;12,7787;15,1574;17,3647;19,6012;21,8208;23,6129;25,4719
447;;0,0275607;3,60291;7,0669;10,0964;12,8942;15,323;17,5403;19,8052;22,0298;23,8433;25,7142
448;;0,0273275;3,63733;7,1377;10,189;12,9912;15,4668;17,6929;19,9822;22,1974;24,0457;25,9338
449;;0,0256996;3,66565;7,1875;10,2587;13,0673;15,5867;17,8136;20,1267;22,3297;24,2125;26,1274
450;;0,0255423;3,68543;7,22681;10,3071;13,1312;15,6792;17,9226;20,2343;22,4279;24,3452;26,2886
451;;0,0257692;3,70215;7,25989;10,3406;13,1902;15,747;18,001;20,3192;22,5142;24,4467;26,4108
452;;0,0255008;3,71558;7,27905;10,3652;13,2435;15,792;18,0698;20,3809;22,5876;24,5336;26,493
453;;0,0243878;3,7196;7,29126;10,3833;13,2889;15,823;18,1216;20,4231;22,6406;24,6;26,5454
454;;0,0238409;3,71899;7,30274;10,3881;13,3236;15,8346;18,1495;20,449;22,6823;24,6416;26,5813
455;;0,0228429;3,72046;7,3053;10,3801;13,3494;15,8361;18,1469;20,4563;22,7098;24,6575;26,6051
456;;0,0220194;3,7168;7,29797;10,3661;13,3549;15,8269;18,1367;20,4437;22,7097;24,6472;26,6106
457;;0,0207553;3,7063;7,28992;10,3451;13,3467;15,8054;18,1133;20,4155;22,6823;24,6138;26,5897
458;;0,0201058;3,69666;7,27954;10,3113;13,3234;15,7677;18,0728;20,3694;22,6412;24,5667;26,5475
459;;0,0197902;3,6886;7,26648;10,2753;13,2866;15,7346;18,0214;20,3184;22,584;24,5093;26,4804
460;;0,0197105;3,67334;7,24854;10,2386;13,2339;15,6938;17,9587;20,2633;22,5138;24,4323;26,3888
461;;0,0195313;3,65393;7,21741;10,2028;13,1702;15,636;17,8781;20,1918;22,4301;24,3325;26,27
462;;0,0197072;3,63159;7,17468;10,1564;13,1007;15,5569;17,7861;20,0975;22,3347;24,2025;26,141
463;;0,0209727;3,60559;7,12061;10,1042;13,022;15,4651;17,677;19,9817;22,2186;24,0386;25,9851
464;;0,0228744;3,573;7,05432;10,0404;12,938;15,3532;17,5579;19,8293;22,0762;23,8512;25,8042
465;;0,0237923;3,53784;6,98462;9,96985;12,8497;15,2177;17,4302;19,6488;21,8998;23,6448;25,6041
466;;0,024231;3,49817;6,91846;9,88245;12,7535;15,0701;17,2863;19,4552;21,6963;23,4294;25,3899
467;;0,0253172;3,45581;6,84912;9,78247;12,6376;14,9202;17,113;19,2571;21,4731;23,2128;25,156
468;;0,025785;3,41101;6,77832;9,67407;12,514;14,767;16,9327;19,0554;21,236;22,9941;24,9106
469;;0,0256824;3,36804;6,70862;9,56629;12,38;14,6066;16,7395;18,861;20,9871;22,7693;24,6492
470;;0,0259566;3,32629;6,63367;9,45154;12,2321;14,4514;16,5313;18,6708;20,7391;22,5446;24,3704
471;;0,0262951;3,28784;6,55432;9,33692;12,0823;14,2983;16,3204;18,4733;20,4869;22,302;24,0813
472;;0,0266046;3,25244;6,47278;9,22925;11,9414;14,1376;16,1187;18,2653;20,2294;22,0316;23,7797
473;;0,026698;3,21899;6,39136;9,12439;11,7963;13,9642;15,911;18,0494;19,9666;21,7354;23,4722
474;;0,0263995;3,18298;6,30505;9,01453;11,6447;13,7766;15,7001;17,8191;19,698;21,4202;23,1582
475;;0,0262203;3,14587;6,21741;8,90772;11,4873;13,5734;15,4906;17,5737;19,4227;21,0836;22,834
476;;0,0262231;3,10523;6,13147;8,79285;11,3207;13,36;15,2732;17,3274;19,1388;20,7474;22,5013
477;;0,0259809;3,06287;6,04749;8,67334;11,1368;13,1465;15,0459;17,0785;18,8478;20,4283;22,168
478;;0,025188;3,01514;5,95825;8,54712;10,9489;12,9316;14,8188;16,8302;18,559;20,1244;21,8253
479;;0,0240612;2,96533;5,87231;8,41199;10,7638;12,7164;14,592;16,5779;18,2699;19,8206;21,4872
480;;0,0234118;2,91235;5,78687;8,26563;10,5813;12,505;14,355;16,3178;17,974;19,5262;21,156
481;;0,0232158;2,86108;5,69263;8,12805;10,3994;12,2924;14,1157;16,0374;17,681;19,2262;20,8202
482;;0,0223608;2,80713;5,58984;7,98364;10,2217;12,0757;13,8724;15,7389;17,3801;18,9063;20,4722
483;;0,0217643;2,75574;5,48523;7,83081;10,0407;11,8589;13,6189;15,4142;17,057;18,5735;20,109
484;;0,021709;2,70496;5,37598;7,67835;9,85596;11,6459;13,3507;15,0812;16,7196;18,236;19,72
485;;0,0215111;2,65601;5,26782;7,52881;9,66589;11,4281;13,0804;14,7533;16,3787;17,8746;19,3051
486;;0,0207605;2,60437;5,16223;7,36658;9,46716;11,205;12,8035;14,4336;16,0276;17,5029;18,8739
487;;0,0206523;2,55164;5,06226;7,2002;9,26318;10,973;12,5221;14,118;15,6786;17,1227;18,4343
488;;0,0212402;2,49756;4,96106;7,03406;9,05408;10,7347;12,2343;13,8138;15,3325;16,7269;18,0002
489;;0,0222406;2,44495;4,85303;6,86865;8,83862;10,4928;11,9467;13,5066;14,9893;16,3154;17,5736
490;;0,022697;2,3905;4,73535;6,69934;8,62561;10,2416;11,6635;13,1919;14,6432;15,9109;17,1606
491;;0,0229249;2,3324;4,61646;6,53357;8,41882;9,98413;11,3926;12,8744;14,2975;15,5081;16,7592
492;;0,0232468;2,27502;4,49622;6,37476;8,21387;9,73047;11,1323;12,5649;13,9447;15,1191;16,3624
493;;0,0239077;2,21692;4,38062;6,22583;8,01563;9,48389;10,8877;12,2643;13,6038;14,7534;15,97
494;;0,0248265;2,15674;4,27551;6,08643;7,82666;9,2439;10,6605;11,9839;13,2853;14,421;15,5922
495;;0,0253906;2,10046;4,17944;5,96008;7,6471;9,02576;10,4436;11,7163;12,989;14,1187;15,234
496;;0,0258064;2,05493;4,09412;5,84229;7,4845;8,83789;10,2301;11,4656;12,7199;13,8491;14,9026
497;;0,0267034;2,01794;4,0221;5,73499;7,3418;8,677;10,0251;11,2319;12,4924;13,6016;14,6133
498;;0,0265703;1,99097;3,96094;5,63892;7,21961;8,54236;9,83728;11,0261;12,3005;13,3806;14,3701
499;;0,0254579;1,96973;3,91065;5,55139;7,11768;8,43225;9,66956;10,8453;12,1289;13,1885;14,1606
500;;0,0252214;1,94946;3,87195;5,46631;7,03125;8,34302;9,52832;10,6948;11,98;13,0085;13,979
501;;0,026053;1,93042;3,83643;5,39002;6,95288;8,26379;9,41101;10,5732;11,8529;12,8464;13,8252
502;;0,026258;1,90991;3,79724;5,32568;6,88245;8,19324;9,31519;10,4744;11,733;12,7058;13,6853
503;;0,0266943;1,88538;3,75659;5,26758;6,82056;8,1239;9,23279;10,3763;11,6118;12,575;13,5475
504;;0,0270605;1,86194;3,71289;5,21082;6,75623;8,05005;9,15125;10,2738;11,4866;12,4401;13,4153
505;;0,027617;1,83997;3,66675;5,16016;6,6897;7,96582;9,05457;10,1666;11,353;12,3037;13,2689
506;;0,0279341;1,81482;3,62024;5,11194;6,61755;7,86829;8,95056;10,0465;11,2008;12,1541;13,1039
507;;0,0280151;1,78674;3,57471;5,05457;6,53418;7,74805;8,83362;9,90784;11,0361;11,9941;12,9174
508;;0,0277767;1,75659;3,52087;4,98755;6,43042;7,60498;8,69251;9,75696;10,8563;11,813;12,7034
509;;0,028604;1,72119;3,45886;4,91626;6,31653;7,44617;8,53601;9,58814;10,6667;11,604;12,4613
510;;0,0293574;1,68298;3,38721;4,8363;6,18872;7,28064;8,37549;9,39905;10,4626;11,3751;12,2091
511;;0,0304103;1,64331;3,30518;4,7417;6,04932;7,1084;8,20129;9,19263;10,2485;11,1265;11,938
512;;0,0317097;1,60547;3,21423;4,63525;5,90234;6,93506;8,01331;8,97327;10,0151;10,8467;11,6509
513;;0,0338798;1,56885;3,12549;4,52271;5,75281;6,76392;7,81799;8,74365;9,76709;10,5579;11,3573
514;;0,0359869;1,5354;3,03796;4,39563;5,59985;6,59241;7,60901;8,51318;9,50525;10,2688;11,0544
515;;0,0374789;1,50366;2,9519;4,26343;5,4447;6,41345;7,38599;8,28088;9,24036;9,97925;10,7502
516;;0,0379868;1,47217;2,86975;4,13342;5,29248;6,23596;7,1593;8,04736;8,97302;9,69592;10,4524
517;;0,0384693;1,43457;2,79016;4,00378;5,14417;6,0625;6,93787;7,81714;8,71106;9,42725;10,1586
518;;0,0392246;1,3938;2,71265;3,86963;4,99817;5,89185;6,72766;7,58948;8,45215;9,15881;9,86987
519;;0,0396919;1,35327;2,63757;3,74683;4,8512;5,72632;6,5304;7,36194;8,19812;8,89478;9,59338
520;;0,0403214;1,31116;2,5658;3,62634;4,71191;5,56531;6,344;7,1438;7,95178;8,63574;9,31384
521;;0,0405335;1,26672;2,49072;3,50867;4,57141;5,4032;6,16089;6,93225;7,70789;8,37866;9,0282
522;;0,0414934;1,22632;2,41711;3,39917;4,42822;5,23694;5,97754;6,72339;7,46423;8,12024;8,74475
523;;0,0419431;1,18884;2,34204;3,29968;4,28662;5,07251;5,79297;6,51575;7,22717;7,86658;8,46436
524;;0,0420208;1,14868;2,26172;3,19824;4,14966;4,90735;5,61023;6,3147;6,99414;7,61096;8,18469
525;;0,0417161;1,10913;2,17749;3,1012;4,01062;4,74255;5,43042;6,10962;6,75562;7,3562;7,91162
526;;0,0425038;1,07227;2,10034;3,00464;3,87415;4,58191;5,25671;5,90576;6,51978;7,10327;7,64856
527;;0,0427847;1,03613;2,02637;2,90503;3,7439;4,43103;5,08472;5,7002;6,29419;6,85632;7,39148
528;;0,0423794;1,00195;1,95459;2,80396;3,61926;4,2843;4,91382;5,50305;6,07861;6,61353;7,14551
529;;0,0416827;0,971558;1,89172;2,71106;3,50232;4,14136;4,74573;5,31287;5,87134;6,38403;6,90979
530;;0,0416822;0,941651;1,83325;2,62085;3,39258;4,00391;4,58106;5,1355;5,67493;6,16626;6,68262
531;;0,0420575;0,912834;1,77502;2,53528;3,28992;3,87024;4,42261;4,96558;5,49414;5,96069;6,46546
532;;0,0423479;0,887802;1,71741;2,45618;3,18909;3,73901;4,27441;4,81006;5,32275;5,76392;6,26245
533;;0,0426016;0,86193;1,66211;2,3822;3,08789;3,61267;4,1366;4,66187;5,15479;5,58289;6,0647
534;;0,0429482;0,834939;1,60425;2,30457;2,98279;3,49341;4,00415;4,51648;4,99439;5,41333;5,86816
535;;0,0435433;0,808745;1,5509;2,22827;2,87585;3,3822;3,87671;4,36987;4,84326;5,24866;5,67786
536;;0,0434852;0,784564;1,49939;2,15173;2,76709;3,28064;3,75171;4,22961;4,69629;5,08594;5,49463
537;;0,0429878;0,757444;1,44885;2,08118;2,66321;3,18408;3,62903;4,09412;4,54968;4,93079;5,31751
538;;0,0427747;0,730115;1,39807;2,01514;2,56812;3,08984;3,50806;3,9613;4,40735;4,7793;5,14539
539;;0,0432119;0,703363;1,35278;1,95532;2,48169;2,99902;3,39258;3,83313;4,2677;4,62781;4,98315
540;;0,0432162;0,679429;1,30847;1,89856;2,39917;2,90906;3,28149;3,71045;4,12878;4,48291;4,82764
541;;0,0430207;0,657542;1,26575;1,84656;2,32776;2,81677;3,1731;3,59326;3,98938;4,34741;4,6731
542;;0,0428505;0,637929;1,22656;1,78992;2,26184;2,72351;3,06921;3,48169;3,85742;4,21606;4,51746
543;;0,0427575;0,619921;1,18958;1,72937;2,19409;2,63257;2,96729;3,37366;3,73181;4,08472;4,36536
544;;0,0420914;0,603455;1,15149;1,66724;2,12341;2,54089;2,86572;3,26636;3,61157;3,95569;4,21912
545;;0,0409436;0,586987;1,11414;1,60547;2,05652;2,4502;2,76721;3,16296;3,49585;3,823;4,0791
546;;0,039228;0,568314;1,07715;1,54504;1,98669;2,36011;2,67615;3,05872;3,38745;3,6886;3,94959
547;;0,0373588;0,547312;1,03711;1,48926;1,91626;2,27124;2,58887;2,95142;3,27771;3,55542;3,82373
548;;0,0358596;0,525454;0,998657;1,43921;1,84802;2,18457;2,50757;2,84497;3,16565;3,42529;3,69934
549;;0,0348454;0,505009;0,963745;1,3927;1,78406;2,104;2,42957;2,74548;3,0531;3,29834;3,57739
550;;0,0334239;0,48505;0,929932;1,34924;1,72351;2,02844;2,35205;2,65259;2,94592;3,18005;3,45972
551;;0,0325818;0,464674;0,897339;1,30737;1,66772;1,96008;2,2738;2,56482;2,83826;3,06946;3,34192
552;;0,032536;0,448103;0,871061;1,26453;1,61353;1,89978;2,19678;2,48242;2,73425;2,96362;3,23193
553;;0,0324612;0,436119;0,849545;1,22119;1,56091;1,84363;2,12085;2,4043;2,63709;2,86243;3,13135
554;;0,0317898;0,425533;0,827267;1,17969;1,51111;1,78857;2,04944;2,32703;2,54895;2,76868;3,03174
555;;0,0324998;0,413107;0,804343;1,14014;1,46423;1,73352;1,98608;2,24866;2,46484;2,68176;2,93213
556;;0,0330434;0,401548;0,782965;1,10266;1,41663;1,67603;1,92859;2,1709;2,38647;2,59729;2,83667
